school_name,district,region,state,city,zip_code,grade_levels,student_count,contact_phone,website,school_type,total_enrollment,verification_status,data_source
Skyline High School,Dallas ISD,North Texas,TX,Dallas,75217,"9,10,11,12",2100,214-932-4000,https://www.dallasisd.org/skyline,high_school,2100,pending,nces_import
W.H. Adamson High School,Dallas ISD,North Texas,TX,Dallas,75203,"9,10,11,12",1850,214-932-5000,https://www.dallasisd.org/adamson,high_school,1850,pending,nces_import
North Dallas High School,Dallas ISD,North Texas,TX,Dallas,75230,"9,10,11,12",1650,214-932-6000,https://www.dallasisd.org/northdallas,high_school,1650,pending,nces_import
South Oak Cliff High School,Dallas ISD,North Texas,TX,Dallas,75224,"9,10,11,12",1900,214-932-7000,https://www.dallasisd.org/southoakcliff,high_school,1900,pending,nces_import
Woodrow Wilson High School,Dallas ISD,North Texas,TX,Dallas,75214,"9,10,11,12",1750,214-932-8000,https://www.dallasisd.org/wilson,high_school,1750,pending,nces_import
W.T. White High School,Dallas ISD,North Texas,TX,Dallas,75243,"9,10,11,12",1600,214-932-9000,https://www.dallasisd.org/wtwhite,high_school,1600,pending,nces_import
Sunset High School,Dallas ISD,North Texas,TX,Dallas,75208,"9,10,11,12",1950,214-932-3000,https://www.dallasisd.org/sunset,high_school,1950,pending,nces_import
Lincoln High School,Dallas ISD,North Texas,TX,Dallas,75215,"9,10,11,12",1450,214-932-2000,https://www.dallasisd.org/lincoln,high_school,1450,pending,nces_import
Pinkston High School,Dallas ISD,North Texas,TX,Dallas,75212,"9,10,11,12",1350,214-932-1000,https://www.dallasisd.org/pinkston,high_school,1350,pending,nces_import
Kimball High School,Dallas ISD,North Texas,TX,Dallas,75241,"9,10,11,12",2050,214-932-4100,https://www.dallasisd.org/kimball,high_school,2050,pending,nces_import
Berkner High School,Richardson ISD,North Texas,TX,Richardson,75081,"9,10,11,12",2200,469-593-6000,https://www.risd.org/berkner,high_school,2200,pending,nces_import
Pearce High School,Richardson ISD,North Texas,TX,Richardson,75082,"9,10,11,12",2150,469-593-7000,https://www.risd.org/pearce,high_school,2150,pending,nces_import
Richardson High School,Richardson ISD,North Texas,TX,Richardson,75080,"9,10,11,12",1950,469-593-8000,https://www.risd.org/rhs,high_school,1950,pending,nces_import
Lake Highlands High School,Richardson ISD,North Texas,TX,Dallas,75238,"9,10,11,12",2300,469-593-5000,https://www.risd.org/lakehighlands,high_school,2300,pending,nces_import
Plano Senior High School,Plano ISD,North Texas,TX,Plano,75075,"9,10,11,12",2400,469-752-8100,https://www.pisd.edu/planosenior,high_school,2400,pending,nces_import
Plano East Senior High School,Plano ISD,North Texas,TX,Plano,75074,"9,10,11,12",2350,469-752-9100,https://www.pisd.edu/planoeast,high_school,2350,pending,nces_import
Plano West Senior High School,Plano ISD,North Texas,TX,Plano,75093,"9,10,11,12",2500,469-752-7100,https://www.pisd.edu/planowest,high_school,2500,pending,nces_import
Jasper High School,Plano ISD,North Texas,TX,Plano,75024,"9,10,11,12",2250,469-752-6100,https://www.pisd.edu/jasper,high_school,2250,pending,nces_import
McKinney High School,McKinney ISD,North Texas,TX,McKinney,75069,"9,10,11,12",2100,469-302-5000,https://www.mckinneyisd.net/mhs,high_school,2100,pending,nces_import
McKinney Boyd High School,McKinney ISD,North Texas,TX,McKinney,75070,"9,10,11,12",2200,469-302-6000,https://www.mckinneyisd.net/boyd,high_school,2200,pending,nces_import
McKinney North High School,McKinney ISD,North Texas,TX,McKinney,75071,"9,10,11,12",2150,469-302-7000,https://www.mckinneyisd.net/north,high_school,2150,pending,nces_import
Frisco High School,Frisco ISD,North Texas,TX,Frisco,75034,"9,10,11,12",2000,469-633-5000,https://www.friscoisd.org/fhs,high_school,2000,pending,nces_import
Centennial High School,Frisco ISD,North Texas,TX,Frisco,75035,"9,10,11,12",2100,469-633-6000,https://www.friscoisd.org/centennial,high_school,2100,pending,nces_import
Heritage High School,Frisco ISD,North Texas,TX,Frisco,75036,"9,10,11,12",2050,469-633-7000,https://www.friscoisd.org/heritage,high_school,2050,pending,nces_import
Independence High School,Frisco ISD,North Texas,TX,Frisco,75035,"9,10,11,12",2150,469-633-8000,https://www.friscoisd.org/independence,high_school,2150,pending,nces_import
Liberty High School,Frisco ISD,North Texas,TX,Frisco,75036,"9,10,11,12",2200,469-633-9000,https://www.friscoisd.org/liberty,high_school,2200,pending,nces_import
Lone Star High School,Frisco ISD,North Texas,TX,Frisco,75033,"9,10,11,12",2250,469-633-4000,https://www.friscoisd.org/lonestar,high_school,2250,pending,nces_import
Reedy High School,Frisco ISD,North Texas,TX,Frisco,75034,"9,10,11,12",2100,469-633-3000,https://www.friscoisd.org/reedy,high_school,2100,pending,nces_import
Wakeland High School,Frisco ISD,North Texas,TX,Frisco,75033,"9,10,11,12",2000,469-633-2000,https://www.friscoisd.org/wakeland,high_school,2000,pending,nces_import
Bellaire High School,Houston ISD,Southeast Texas,TX,Houston,77025,"9,10,11,12",3100,713-295-5476,https://www.houstonisd.org/bellaire,high_school,3100,pending,nces_import
Lamar High School,Houston ISD,Southeast Texas,TX,Houston,77019,"9,10,11,12",2900,713-522-5960,https://www.houstonisd.org/lamar,high_school,2900,pending,nces_import
Westside High School,Houston ISD,Southeast Texas,TX,Houston,77063,"9,10,11,12",2600,713-251-1500,https://www.houstonisd.org/westside,high_school,2600,pending,nces_import
Carnegie Vanguard High School,Houston ISD,Southeast Texas,TX,Houston,77006,"9,10,11,12",1150,713-942-1960,https://www.houstonisd.org/carnegie,high_school,1150,pending,nces_import
DeBakey High School,Houston ISD,Southeast Texas,TX,Houston,77030,"9,10,11,12",1200,713-749-2000,https://www.houstonisd.org/debakey,high_school,1200,pending,nces_import
Waltrip High School,Houston ISD,Southeast Texas,TX,Houston,77092,"9,10,11,12",2400,713-613-2600,https://www.houstonisd.org/waltrip,high_school,2400,pending,nces_import
Austin High School,Houston ISD,Southeast Texas,TX,Houston,77004,"9,10,11,12",2100,713-802-4050,https://www.houstonisd.org/austin,high_school,2100,pending,nces_import
Heights High School,Houston ISD,Southeast Texas,TX,Houston,77008,"9,10,11,12",2300,713-802-4100,https://www.houstonisd.org/heights,high_school,2300,pending,nces_import
Madison High School,Houston ISD,Southeast Texas,TX,Houston,77016,"9,10,11,12",2500,713-613-2800,https://www.houstonisd.org/madison,high_school,2500,pending,nces_import
Milby High School,Houston ISD,Southeast Texas,TX,Houston,77017,"9,10,11,12",2400,713-845-3540,https://www.houstonisd.org/milby,high_school,2400,pending,nces_import
Sterling High School,Houston ISD,Southeast Texas,TX,Houston,77045,"9,10,11,12",2700,713-726-3639,https://www.houstonisd.org/sterling,high_school,2700,pending,nces_import
Yates High School,Houston ISD,Southeast Texas,TX,Houston,77004,"9,10,11,12",1800,713-748-0061,https://www.houstonisd.org/yates,high_school,1800,pending,nces_import
Reagan High School,Houston ISD,Southeast Texas,TX,Houston,77009,"9,10,11,12",2200,713-802-4300,https://www.houstonisd.org/reagan,high_school,2200,pending,nces_import
Washington High School,Houston ISD,Southeast Texas,TX,Houston,77007,"9,10,11,12",1900,713-802-4400,https://www.houstonisd.org/washington,high_school,1900,pending,nces_import
Westbury High School,Houston ISD,Southeast Texas,TX,Houston,77035,"9,10,11,12",2600,713-726-2350,https://www.houstonisd.org/westbury,high_school,2600,pending,nces_import
Cy-Fair High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Cypress,77433,"9,10,11,12",3200,281-897-4600,https://www.cfisd.net/cyfair,high_school,3200,pending,nces_import
Cypress Creek High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Houston,77095,"9,10,11,12",3100,281-517-2600,https://www.cfisd.net/creek,high_school,3100,pending,nces_import
Cypress Falls High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Houston,77095,"9,10,11,12",3000,281-213-1800,https://www.cfisd.net/falls,high_school,3000,pending,nces_import
Cypress Lakes High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Katy,77493,"9,10,11,12",2900,832-484-2000,https://www.cfisd.net/lakes,high_school,2900,pending,nces_import
Cypress Ranch High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Cypress,77433,"9,10,11,12",3050,281-213-1650,https://www.cfisd.net/ranch,high_school,3050,pending,nces_import
Cypress Ridge High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Houston,77433,"9,10,11,12",2950,832-484-2200,https://www.cfisd.net/ridge,high_school,2950,pending,nces_import
Cypress Springs High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Cypress,77433,"9,10,11,12",3100,281-213-1550,https://www.cfisd.net/springs,high_school,3100,pending,nces_import
Cypress Woods High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Cypress,77433,"9,10,11,12",3000,832-484-2400,https://www.cfisd.net/woods,high_school,3000,pending,nces_import
Langham Creek High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Houston,77084,"9,10,11,12",3200,281-213-1700,https://www.cfisd.net/langham,high_school,3200,pending,nces_import
Jersey Village High School,Cypress-Fairbanks ISD,Northwest Houston,TX,Houston,77040,"9,10,11,12",2800,281-897-4600,https://www.cfisd.net/jerseyvillage,high_school,2800,pending,nces_import
Cinco Ranch High School,Katy ISD,West Houston,TX,Katy,77494,"9,10,11,12",3400,281-237-2000,https://www.katyisd.org/cincoranch,high_school,3400,pending,nces_import
Mayde Creek High School,Katy ISD,West Houston,TX,Houston,77450,"9,10,11,12",3200,281-237-3000,https://www.katyisd.org/maydecreek,high_school,3200,pending,nces_import
Morton Ranch High School,Katy ISD,West Houston,TX,Katy,77449,"9,10,11,12",3100,281-237-4000,https://www.katyisd.org/mortonranch,high_school,3100,pending,nces_import
Paetow High School,Katy ISD,West Houston,TX,Katy,77494,"9,10,11,12",2900,281-237-8000,https://www.katyisd.org/paetow,high_school,2900,pending,nces_import
Seven Lakes High School,Katy ISD,West Houston,TX,Katy,77494,"9,10,11,12",3300,281-237-5000,https://www.katyisd.org/sevenlakes,high_school,3300,pending,nces_import
Tompkins High School,Katy ISD,West Houston,TX,Katy,77494,"9,10,11,12",3500,281-237-7000,https://www.katyisd.org/tompkins,high_school,3500,pending,nces_import
Taylor High School,Katy ISD,West Houston,TX,Katy,77494,"9,10,11,12",3000,281-237-6000,https://www.katyisd.org/taylor,high_school,3000,pending,nces_import
Katy High School,Katy ISD,West Houston,TX,Katy,77449,"9,10,11,12",2800,281-396-2457,https://www.katyisd.org/khs,high_school,2800,pending,nces_import
Anderson High School,Austin ISD,Central Texas,TX,Austin,78757,"9,10,11,12",2200,512-414-2538,https://www.austinisd.org/anderson,high_school,2200,pending,nces_import
Akins High School,Austin ISD,Central Texas,TX,Austin,78748,"9,10,11,12",2100,512-841-7000,https://www.austinisd.org/akins,high_school,2100,pending,nces_import
Austin High School,Austin ISD,Central Texas,TX,Austin,78703,"9,10,11,12",1900,512-414-2505,https://www.austinisd.org/austinhigh,high_school,1900,pending,nces_import
Bowie High School,Austin ISD,Central Texas,TX,Austin,78749,"9,10,11,12",2300,512-841-8200,https://www.austinisd.org/bowie,high_school,2300,pending,nces_import
Crockett High School,Austin ISD,Central Texas,TX,Austin,78741,"9,10,11,12",1600,512-414-2536,https://www.austinisd.org/crockett,high_school,1600,pending,nces_import
Eastside Memorial High School,Austin ISD,Central Texas,TX,Austin,78702,"9,10,11,12",850,512-414-3229,https://www.austinisd.org/eastside,high_school,850,pending,nces_import
Lanier High School,Austin ISD,Central Texas,TX,Austin,78721,"9,10,11,12",1400,512-414-2511,https://www.austinisd.org/lanier,high_school,1400,pending,nces_import
LBJ High School,Austin ISD,Central Texas,TX,Austin,78723,"9,10,11,12",1100,512-414-2519,https://www.austinisd.org/lbj,high_school,1100,pending,nces_import
McCallum High School,Austin ISD,Central Texas,TX,Austin,78756,"9,10,11,12",1800,512-414-2524,https://www.austinisd.org/mccallum,high_school,1800,pending,nces_import
Northeast Early College High School,Austin ISD,Central Texas,TX,Austin,78753,"9,10,11,12",700,512-414-5247,https://www.austinisd.org/northeast,high_school,700,pending,nces_import
Reagan High School,Austin ISD,Central Texas,TX,Austin,78753,"9,10,11,12",1500,512-414-2528,https://www.austinisd.org/reagan,high_school,1500,pending,nces_import
Travis High School,Austin ISD,Central Texas,TX,Austin,78745,"9,10,11,12",1700,512-414-2532,https://www.austinisd.org/travis,high_school,1700,pending,nces_import
Westlake High School,Eanes ISD,Central Texas,TX,Austin,78746,"9,10,11,12",2600,512-732-9280,https://www.eanesisd.net/westlake,high_school,2600,pending,nces_import
Lake Travis High School,Lake Travis ISD,Central Texas,TX,Austin,78734,"9,10,11,12",2400,512-533-6000,https://www.ltisdschools.org/laketravis,high_school,2400,pending,nces_import
Leander High School,Leander ISD,Central Texas,TX,Leander,78641,"9,10,11,12",2500,512-570-3900,https://www.leanderisd.org/lhs,high_school,2500,pending,nces_import
Rouse High School,Leander ISD,Central Texas,TX,Leander,78641,"9,10,11,12",2400,512-570-2700,https://www.leanderisd.org/rouse,high_school,2400,pending,nces_import
Vista Ridge High School,Leander ISD,Central Texas,TX,Cedar Park,78613,"9,10,11,12",2600,512-570-2400,https://www.leanderisd.org/vistaridge,high_school,2600,pending,nces_import
Vandegrift High School,Leander ISD,Central Texas,TX,Austin,78730,"9,10,11,12",2700,512-570-2200,https://www.leanderisd.org/vandegrift,high_school,2700,pending,nces_import
Cedar Park High School,Leander ISD,Central Texas,TX,Cedar Park,78613,"9,10,11,12",2300,512-570-1200,https://www.leanderisd.org/cedarpark,high_school,2300,pending,nces_import
Glenn High School,Leander ISD,Central Texas,TX,Leander,78641,"9,10,11,12",2500,512-570-3100,https://www.leanderisd.org/glenn,high_school,2500,pending,nces_import
Round Rock High School,Round Rock ISD,Central Texas,TX,Round Rock,78681,"9,10,11,12",2400,512-428-7000,https://www.roundrockisd.org/roundrock,high_school,2400,pending,nces_import
Stony Point High School,Round Rock ISD,Central Texas,TX,Round Rock,78665,"9,10,11,12",2500,512-428-8000,https://www.roundrockisd.org/stonypoint,high_school,2500,pending,nces_import
Westwood High School,Round Rock ISD,Central Texas,TX,Austin,78750,"9,10,11,12",2400,512-428-3800,https://www.roundrockisd.org/westwood,high_school,2400,pending,nces_import
McNeil High School,Round Rock ISD,Central Texas,TX,Austin,78729,"9,10,11,12",2300,512-428-2000,https://www.roundrockisd.org/mcneil,high_school,2300,pending,nces_import
Cedar Ridge High School,Round Rock ISD,Central Texas,TX,Round Rock,78664,"9,10,11,12",2200,512-428-9000,https://www.roundrockisd.org/cedarridge,high_school,2200,pending,nces_import
Alamo Heights High School,Alamo Heights ISD,South Texas,TX,San Antonio,78209,"9,10,11,12",1850,210-824-2483,https://www.ahisd.net/ahhs,high_school,1850,pending,nces_import
Brackenridge High School,San Antonio ISD,South Texas,TX,San Antonio,78201,"9,10,11,12",1600,210-554-2400,https://www.saisd.net/brackenridge,high_school,1600,pending,nces_import
Burbank High School,San Antonio ISD,South Texas,TX,San Antonio,78207,"9,10,11,12",1400,210-554-2500,https://www.saisd.net/burbank,high_school,1400,pending,nces_import
Edison High School,San Antonio ISD,South Texas,TX,San Antonio,78237,"9,10,11,12",1300,210-554-2600,https://www.saisd.net/edison,high_school,1300,pending,nces_import
Fox Tech High School,San Antonio ISD,South Texas,TX,San Antonio,78205,"9,10,11,12",900,210-554-2700,https://www.saisd.net/foxtech,high_school,900,pending,nces_import
Highlands High School,San Antonio ISD,South Texas,TX,San Antonio,78210,"9,10,11,12",1100,210-554-2800,https://www.saisd.net/highlands,high_school,1100,pending,nces_import
Lanier High School,San Antonio ISD,South Texas,TX,San Antonio,78211,"9,10,11,12",1200,210-554-2900,https://www.saisd.net/lanier,high_school,1200,pending,nces_import
Sam Houston High School,San Antonio ISD,South Texas,TX,San Antonio,78207,"9,10,11,12",1350,210-554-3000,https://www.saisd.net/samhouston,high_school,1350,pending,nces_import
Brackenridge High School,Northside ISD,South Texas,TX,San Antonio,78251,"9,10,11,12",2600,210-397-8600,https://www.nisd.net/brackenridge,high_school,2600,pending,nces_import
Brandeis High School,Northside ISD,South Texas,TX,San Antonio,78251,"9,10,11,12",2700,210-397-7200,https://www.nisd.net/brandeis,high_school,2700,pending,nces_import
Brennan High School,Northside ISD,South Texas,TX,San Antonio,78254,"9,10,11,12",2800,210-397-3800,https://www.nisd.net/brennan,high_school,2800,pending,nces_import
Clark High School,Northside ISD,South Texas,TX,San Antonio,78245,"9,10,11,12",3000,210-397-7700,https://www.nisd.net/clark,high_school,3000,pending,nces_import
Holmes High School,Northside ISD,South Texas,TX,San Antonio,78240,"9,10,11,12",2900,210-397-7300,https://www.nisd.net/holmes,high_school,2900,pending,nces_import
Marshall High School,Northside ISD,South Texas,TX,San Antonio,78251,"9,10,11,12",2650,210-397-5700,https://www.nisd.net/marshall,high_school,2650,pending,nces_import
O'Connor High School,Northside ISD,South Texas,TX,San Antonio,78247,"9,10,11,12",2750,210-397-7400,https://www.nisd.net/oconnor,high_school,2750,pending,nces_import
Stevens High School,Northside ISD,South Texas,TX,San Antonio,78254,"9,10,11,12",2500,210-397-3900,https://www.nisd.net/stevens,high_school,2500,pending,nces_import
Taft High School,Northside ISD,South Texas,TX,San Antonio,78251,"9,10,11,12",2600,210-397-7500,https://www.nisd.net/taft,high_school,2600,pending,nces_import
Warren High School,Northside ISD,South Texas,TX,San Antonio,78250,"9,10,11,12",2700,210-397-4700,https://www.nisd.net/warren,high_school,2700,pending,nces_import
Churchill High School,North East ISD,South Texas,TX,San Antonio,78230,"9,10,11,12",2400,210-442-0300,https://www.neisd.net/churchill,high_school,2400,pending,nces_import
Johnson High School,North East ISD,South Texas,TX,San Antonio,78245,"9,10,11,12",2500,210-356-0600,https://www.neisd.net/johnson,high_school,2500,pending,nces_import
Lee High School,North East ISD,South Texas,TX,San Antonio,78217,"9,10,11,12",2300,210-804-7200,https://www.neisd.net/lee,high_school,2300,pending,nces_import
MacArthur High School,North East ISD,South Texas,TX,San Antonio,78217,"9,10,11,12",2200,210-804-8200,https://www.neisd.net/macarthur,high_school,2200,pending,nces_import
Madison High School,North East ISD,South Texas,TX,San Antonio,78218,"9,10,11,12",2100,210-442-3100,https://www.neisd.net/madison,high_school,2100,pending,nces_import
Reagan High School,North East ISD,South Texas,TX,San Antonio,78258,"9,10,11,12",2600,210-356-1500,https://www.neisd.net/reagan,high_school,2600,pending,nces_import
Roosevelt High School,North East ISD,South Texas,TX,San Antonio,78239,"9,10,11,12",2000,210-804-8500,https://www.neisd.net/roosevelt,high_school,2000,pending,nces_import
Central High School,El Paso ISD,West Texas,TX,El Paso,79903,"9,10,11,12",1800,915-230-2100,https://www.episd.org/central,high_school,1800,pending,nces_import
Jefferson High School,El Paso ISD,West Texas,TX,El Paso,79930,"9,10,11,12",1750,915-230-2200,https://www.episd.org/jefferson,high_school,1750,pending,nces_import
Austin High School,El Paso ISD,West Texas,TX,El Paso,79930,"9,10,11,12",1900,915-230-2300,https://www.episd.org/austin,high_school,1900,pending,nces_import
Bowie High School,El Paso ISD,West Texas,TX,El Paso,79925,"9,10,11,12",2000,915-230-2400,https://www.episd.org/bowie,high_school,2000,pending,nces_import
Burges High School,El Paso ISD,West Texas,TX,El Paso,79915,"9,10,11,12",2100,915-230-2500,https://www.episd.org/burges,high_school,2100,pending,nces_import
Coronado High School,El Paso ISD,West Texas,TX,El Paso,79932,"9,10,11,12",2200,915-230-2600,https://www.episd.org/coronado,high_school,2200,pending,nces_import
Eastwood High School,Ysleta ISD,West Texas,TX,El Paso,79936,"9,10,11,12",2300,915-434-0400,https://www.yisd.net/eastwood,high_school,2300,pending,nces_import
Irvin High School,Ysleta ISD,West Texas,TX,El Paso,79907,"9,10,11,12",2250,915-434-0500,https://www.yisd.net/irvin,high_school,2250,pending,nces_import
Bel Air High School,Ysleta ISD,West Texas,TX,El Paso,79936,"9,10,11,12",2400,915-434-0600,https://www.yisd.net/belair,high_school,2400,pending,nces_import
Parkland High School,Ysleta ISD,West Texas,TX,El Paso,79907,"9,10,11,12",2350,915-434-0700,https://www.yisd.net/parkland,high_school,2350,pending,nces_import
Riverside High School,Ysleta ISD,West Texas,TX,El Paso,79905,"9,10,11,12",2200,915-434-0800,https://www.yisd.net/riverside,high_school,2200,pending,nces_import
Ysleta High School,Ysleta ISD,West Texas,TX,El Paso,79907,"9,10,11,12",2100,915-434-0900,https://www.yisd.net/ysleta,high_school,2100,pending,nces_import
Midland High School,Midland ISD,West Texas,TX,Midland,79701,"9,10,11,12",2000,432-240-1000,https://www.midlandisd.net/mhs,high_school,2000,pending,nces_import
Legacy High School,Midland ISD,West Texas,TX,Midland,79707,"9,10,11,12",1950,432-240-1100,https://www.midlandisd.net/legacy,high_school,1950,pending,nces_import
Lubbock High School,Lubbock ISD,West Texas,TX,Lubbock,79401,"9,10,11,12",1900,806-219-2200,https://www.lubbockisd.org/lhs,high_school,1900,pending,nces_import
